"symbol","d1","d7","d30","runup","bars","price"
"FHEUSDT","1","-5.6","6.5","43","31","0.01959"
"KERNELUSDT","-0.5","-4.3","-16.3","36.1","31","0.03303"
"WCTUSDT","0.2","-11.3","-11.1","17.6","31","0.03751"
"INITUSDT","0.6","-10.5","-7","21.8","31","0.04971"
"BANKUSDT","-5.8","-11.2","477.2","2067.2","31","0.20462"
"DEEPUSDT","-0.5","-10.5","1.1","35","31","0.01654"
"HYPERUSDT","-1.3","-8.6","-24.2","14.4","31","0.06088"
"JSTUSDT","0","-1.3","15","25.3","31","0.10068"
"SIGNUSDT","-0.1","-11.3","-11.2","15.6","31","0.007614"
"PUNDIXUSDT","-0.6","-7.5","-7.8","23.2","31","0.07725"
"CTKUSDT","-1","-11.2","-13.5","16.3","31","0.0924"
"AIOTUSDT","0.1","-4.1","-2.6","85.6","31","0.04803"
"DOLOUSDT","-0.6","-4.2","-6.9","12.8","31","0.02144"
"HAEDALUSDT","0.1","-9.9","-8.6","44.3","31","0.01465"
"SXTUSDT","0","0.5","4.1","67.9","31","0.006962"
"ASRUSDT","0.1","-3.4","-3","12.6","31","0.836"
"ALPINEUSDT","-0.3","-0.5","1.3","34.7","31","0.3134"
"B2USDT","0.2","-4.3","-14.4","79","31","0.4466"
"SYRUPUSDT","-0.3","-7.6","15.5","52.4","31","0.16646"
"DOODUSDT","-1","-7.5","-3.2","20.5","31","0.001378"
"OGUSDT","-0.1","-5.8","-1.3","17.7","31","2.445"
"SKYAIUSDT","0.5","-17","-80.5","100","31","0.02392"
"NXPCUSDT","-1.4","1.6","-2.1","18.8","31","0.261"
"CVCUSDT","-0.1","-7.2","-10","12.6","31","0.01835"
"AGTUSDT","3.3","12.3","-29.1","79.9","31","0.014395"
"AWEUSDT","-0.9","-7","3.9","39.2","31","0.05435"
"BUSDT","0.7","-24.5","-21.5","169.6","31","0.1712"
"SOONUSDT","-0.9","70.2","55.1","99.3","31","0.2766"
"HUMAUSDT","-0.8","-1.6","-7.5","29.7","31","0.021504"
"AUSDT","-0.1","-5.7","1.3","36.2","31","0.06216"
"SOPHUSDT","-0.5","-11.7","-14.5","15.7","31","0.00411"
"MERLUSDT","-1.1","0","-8.5","23.8","31","0.01748"
"HYPEUSDT","-0.7","-7.7","-18.1","20.4","31","54.812"
